"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 19-Jun-2024","1W AGO 
 14-Jun-2024","1M AGO 
 21-May-2024","1Y AGO 
 21-Jun-2023","52W H 
","52W L 
","365 D % CHNG 
 21-Jun-2023","30 D % CHNG 
 21-May-2024"
"NIFTY 50","23,465.40","-0.43","23,661.15","23,667.10","23,442.85","-","23,567.00","23,516.00","23,465.60","22,529.05","18,856.85","23,664.00","18,646.70","24.98","4.61"
"NIFTY NEXT 50","71,305.00","-0.46","71,847.40","71,878.25","71,289.40","-","71,632.20","71,536.70","71,892.15","68,241.75","43,905.65","72,614.60","42,539.15","63.15","4.97"
"NIFTY 100","24,543.35","-0.43","24,743.55","24,746.40","24,526.05","-","24,649.85","24,599.90","24,571.65","23,569.90","18,827.80","24,763.60","18,578.05","30.92","4.58"
"NIFTY 200","13,356.95","-0.37","13,459.35","13,459.85","13,348.40","-","13,405.90","13,362.80","13,360.60","12,780.45","9,975.15","13,465.30","9,827.20","34.39","4.89"
"NIFTY 500","22,232.10","-0.33","22,392.60","22,393.30","22,218.90","-","22,305.10","22,224.90","22,214.30","21,187.65","16,240.95","22,406.30","15,995.10","37.34","5.27"
"NIFTY MIDCAP 50","15,645.85","0.19","15,704.65","15,748.65","15,635.05","-","15,616.60","15,442.95","15,523.60","14,614.50","10,032.40","15,633.95","9,762.65","55.66","6.86"
"NIFTY MIDCAP 100","55,464.45","-0.02","55,748.00","55,854.75","55,420.65","-","55,473.80","54,951.70","55,225.95","52,068.30","35,614.40","55,679.60","34,659.75","55.76","6.54"
"NIFTY SMALLCAP 100","18,260.85","-0.03","18,329.05","18,400.25","18,238.85","-","18,266.45","18,155.50","18,043.60","16,939.85","10,832.05","18,347.05","10,582.65","68.63","7.83"
"INDIA VIX","13.34","-0.03","13.35","13.46","12.48","-","13.35","13.71","12.82","21.81","11.29","31.71","8.40","18.18","-38.81"
"NIFTY MIDCAP 150","20,742.90","-0.11","20,863.10","20,890.70","20,728.25","-","20,766.70","20,591.65","20,698.25","19,413.20","13,353.30","20,880.05","13,033.05","55.52","6.97"
"NIFTY SMALLCAP 50","8,554.10","0.15","8,570.70","8,608.00","8,542.80","-","8,541.70","8,485.80","8,418.95","7,787.65","4,843.95","8,575.95","4,742.45","76.34","9.68"
"NIFTY SMALLCAP 250","17,065.50","0.07","17,113.80","17,168.75","17,035.10","-","17,054.00","16,942.80","16,845.55","15,867.75","10,531.85","17,110.10","10,306.10","61.93","7.48"
"NIFTY MIDSMALLCAP 400","19,457.30","-0.05","19,549.65","19,586.70","19,444.45","-","19,467.10","19,316.15","19,341.45","18,168.40","12,344.20","19,553.55","12,068.95","57.70","7.15"
"NIFTY500 MULTICAP 50:25:25","15,582.90","-0.22","15,678.40","15,690.60","15,574.20","-","15,616.80","15,540.45","15,529.45","14,739.05","10,805.55","15,683.65","5,531.55","44.53","5.96"
"NIFTY LARGEMIDCAP 250","15,583.80","-0.27","15,691.60","15,696.20","15,573.85","-","15,625.30","15,541.10","15,574.70","14,765.25","10,926.70","15,704.00","5,635.20","43.00","5.82"
"NIFTY MIDCAP SELECT","12,166.00","0.22","12,212.50","12,254.40","12,155.90","-","12,139.05","12,003.85","12,053.20","11,339.35","8,179.60","12,158.90","5,520.25","48.41","7.05"
"NIFTY TOTAL MARKET","12,514.65","-0.32","12,604.55","12,606.00","12,507.50","-","12,554.55","12,504.75","12,496.60","11,913.50","9,070.50","12,607.60","6,252.10","38.41","5.38"
"NIFTY MICROCAP 250","22,958.75","-0.05","23,100.00","23,173.00","22,936.15","-","22,969.95","22,648.00","22,523.40","21,194.15","13,059.30","23,020.80","5,802.95","75.89","8.38"
"NIFTY BANK","51,397.20","-0.75","51,927.30","51,934.35","51,350.90","-","51,783.25","51,398.05","50,002.00","48,048.20","43,859.20","51,957.00","42,105.40","18.07","7.77"
"NIFTY AUTO","25,209.80","-0.23","25,344.80","25,437.35","25,164.15","-","25,267.85","25,381.70","25,722.10","23,353.75","14,777.70","25,991.45","14,527.60","70.99","8.20"
"NIFTY FINANCIAL SERVICES","22,880.95","-0.67","23,110.25","23,110.40","22,841.50","-","23,035.30","22,943.95","22,411.95","21,438.20","19,635.95","23,154.25","18,870.15","17.31","7.45"
"NIFTY FINANCIAL SERVICES 25/50","24,697.75","-0.43","24,882.95","24,884.95","24,666.95","-","24,803.30","24,772.85","24,399.90","23,314.55","19,766.85","-","-","25.48","6.39"
"NIFTY FMCG","56,172.95","-0.88","56,737.55","56,761.30","56,068.45","-","56,669.65","56,646.55","57,225.85","54,969.25","51,934.25","58,832.65","50,607.00","9.12","3.09"
"NIFTY IT","35,242.50","0.88","35,474.35","35,875.30","35,160.15","-","34,936.45","34,927.10","34,598.55","33,379.75","29,025.70","38,559.85","28,451.15","20.36","4.66"
"NIFTY MEDIA","2,047.40","1.33","2,024.40","2,058.45","2,019.55","-","2,020.50","2,018.20","2,057.85","1,857.35","1,777.95","2,508.60","1,717.40","13.64","8.78"
