"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 21-Jun-2023"
"NIFTY 50","23,661.15","23,667.10","23,442.85","23,567.00","23,465.95","-101.05","-0.43","21,79,66,616","23,333.72","23,664.00","18,646.70","4.61","24.98"
"BHARTIARTL","1,384.95","1,423.00","1,372.85","1,381.15","1,411.15","30.00","2.17","95,42,560","1,343.18","1,455.95","830.40","2.74","64.62"
"LTIM","5,200.00","5,273.85","5,116.30","5,052.45","5,132.00","79.55","1.57","10,17,193","528.88","6,442.00","4,513.55","6.80","1.04"
"HINDALCO","680.00","691.20","677.00","676.50","686.10","9.60","1.42","53,40,283","366.23","715.25","407.45","-2.47","60.71"
"SBILIFE","1,455.50","1,478.55","1,445.15","1,455.50","1,473.15","17.65","1.21","4,89,159","71.76","1,569.40","1,251.65","1.81","12.40"
"INFY","1,545.00","1,557.75","1,525.85","1,515.40","1,532.35","16.95","1.12","85,26,896","1,317.58","1,733.00","1,262.25","5.67","16.63"
"ADANIPORTS","1,479.95","1,486.55","1,472.00","1,469.40","1,483.75","14.35","0.98","31,42,943","465.08","1,621.40","703.00","6.06","96.06"
"SHRIRAMFIN","2,810.00","2,842.00","2,795.00","2,805.20","2,829.60","24.40","0.87","6,50,452","183.64","2,854.50","1,641.85","18.20","61.74"
"DIVISLAB","4,500.00","4,564.55","4,489.75","4,504.05","4,538.45","34.40","0.76","2,21,211","100.46","4,627.95","3,295.30","12.14","28.34"
"TCS","3,827.00","3,877.80","3,811.00","3,787.25","3,816.00","28.75","0.76","21,02,682","809.04","4,254.75","3,173.00","-0.86","16.24"
"DRREDDY","5,971.00","6,055.00","5,955.15","5,970.80","6,016.00","45.20","0.76","1,75,962","105.96","6,505.90","4,890.00","3.30","21.59"
"NTPC","359.95","362.95","356.75","357.65","359.65","2.00","0.56","76,46,350","275.41","393.20","183.35","-3.86","90.75"
"POWERGRID","326.70","329.00","323.00","324.55","326.20","1.65","0.51","66,53,772","217.27","348.70","177.53","-0.34","25.70"
"HCLTECH","1,462.00","1,481.95","1,447.05","1,443.45","1,450.70","7.25","0.50","32,40,605","474.33","1,697.35","1,087.05","7.57","23.32"
"WIPRO","497.95","500.95","491.00","490.40","492.80","2.40","0.49","87,16,920","433.34","545.90","375.05","6.40","27.21"
"COALINDIA","483.15","491.40","479.00","483.15","484.90","1.75","0.36","50,83,113","247.59","527.40","223.25","-1.53","111.49"
"APOLLOHOSP","6,152.20","6,239.10","6,145.00","6,175.85","6,196.65","20.80","0.34","1,84,996","114.79","6,874.45","4,726.00","3.83","20.65"
"CIPLA","1,549.90","1,562.90","1,540.15","1,544.85","1,549.45","4.60","0.30","5,85,571","90.97","1,582.00","985.65","7.11","53.12"
"SUNPHARMA","1,480.10","1,488.00","1,471.00","1,471.00","1,475.15","4.15","0.28","14,89,738","220.25","1,638.85","977.30","-4.54","48.30"
"TECHM","1,408.00","1,440.30","1,394.40","1,393.10","1,396.75","3.65","0.26","33,29,782","472.39","1,440.30","1,082.30","5.23","24.40"
"EICHERMOT","4,876.90","4,925.30","4,871.05","4,876.90","4,884.00","7.10","0.15","1,30,325","63.83","4,976.00","3,160.00","4.36","36.59"
"HEROMOTOCO","5,481.00","5,615.00","5,475.55","5,504.60","5,512.10","7.50","0.14","3,79,366","210.44","5,894.55","2,765.00","8.92","94.95"
"TATASTEEL","179.40","180.50","178.53","182.28","178.88","0.20","0.11","3,30,56,669","594.16","184.60","108.10","4.55","60.04"
"M&M","2,884.75","2,906.90","2,845.00","2,871.20","2,873.15","1.95","0.07","24,70,112","711.11","3,013.50","1,368.50","13.82","108.93"
"BAJAJFINSV","1,586.00","1,610.85","1,573.75","1,586.00","1,585.70","0.70","0.04","8,79,594","139.82","1,741.00","1,419.05","0.22","4.39"
"INDUSINDBK","1,523.00","1,537.80","1,522.00","1,527.85","1,527.60","-0.25","-0.02","24,21,292","370.60","1,694.50","1,262.00","8.63","18.75"
"BAJAJ-AUTO","9,675.00","9,728.95","9,604.90","9,632.00","9,625.80","-6.20","-0.06","1,38,680","134.00","10,038.80","4,541.00","9.20","107.13"
"MARUTI","12,220.00","12,366.25","12,083.50","12,149.50","12,140.20","-9.30","-0.08","5,03,732","613.81","13,073.95","9,254.15","-2.60","28.69"
"KOTAKBANK","1,770.00","1,770.90","1,745.30","1,766.25","1,764.75","-1.50","-0.08","23,82,580","418.41","1,987.75","1,543.85","4.00","-4.30"
"ICICIBANK","1,163.55","1,165.35","1,151.25","1,156.80","1,154.75","-2.05","-0.18","84,58,408","979.15","1,173.00","899.00","3.20","25.10"
"ONGC","271.45","274.75","270.10","271.85","270.95","-0.90","-0.33","74,34,834","202.77","292.95","155.40","-2.95","69.69"
"BRITANNIA","5,369.10","5,389.85","5,345.00","5,378.45","5,355.95","-22.50","-0.42","87,710","47.08","5,725.00","4,347.70","3.87","6.09"
"JSWSTEEL","929.00","939.00","923.50","929.65","925.20","-4.45","-0.48","16,83,446","156.93","939.00","723.00","0.67","22.52"
"HDFCLIFE","588.00","592.60","583.10","590.10","584.60","-3.50","-0.60","35,90,067","210.52","710.60","511.40","4.33","-8.16"
